LocationDirection,LocationCode,Mesh_ID,Link_ID,draw_LineDir,Link_kind,Rtic_kind,Link_direction,Link_length,LTN
+,5,595672,366537,0,1,2,3,0.102,32
+,5,595672,401663,0,1,2,3,0.013,32
+,5,595672,401662,0,1,2,3,0.026,32
+,5,595672,407113,0,1,2,3,0.083,32
+,5,595672,407112,0,1,2,3,0.04,32
+,5,595672,12645716,0,1,2,3,0.224,32
+,5,595672,12645715,0,1,2,3,0.066,32
+,6,595672,358308,0,1,2,3,0.123,32
+,6,595672,412417,0,1,2,3,0.266,32
+,6,595672,357602,1,1,2,2,0.083,32
+,6,595672,403154,1,1,2,2,0.054,32
+,6,595672,408593,1,1,2,2,0.022,32
+,6,595672,408594,1,1,2,2,0.073,32
+,6,595672,366569,1,1,2,2,0.097,32
+,6,595672,401680,1,1,2,2,0.099,32
+,6,595672,401681,1,1,2,2,0.094,32
+,6,595672,357673,1,1,2,2,0.145,32
+,6,595672,357672,1,1,2,2,0.038,32
+,6,595672,87767405,1,1,2,2,0.268,32
+,6,595672,87767406,1,1,2,2,0.032,32
+,6,595672,427137,1,1,2,2,0.127,32
+,6,595672,12566861,1,1,2,2,0.141,32
+,6,595672,12566862,1,1,2,2,0.262,32
+,6,595673,675969,1,1,2,2,0.071,32
+,7,595662,500864,0,6,4,1,0.104,32
+,7,595662,500861,0,6,4,1,0.026,32
+,7,595662,442921,0,6,4,1,0.044,32
+,7,595662,500868,0,6,4,1,0.073,32
+,7,595662,500865,0,6,4,1,0.032,32
+,7,595662,492178,0,6,4,1,0.009,32
+,7,595662,505110,0,6,4,1,0.083,32
+,7,595662,505108,0,6,4,1,0.009,32
+,7,595662,505113,0,6,4,1,0.08,32
+,7,595662,49965822,0,6,4,1,0.137,32
+,7,595662,49965821,0,6,,1,0.012,32
+,8,595673,680244,1,1,2,2,0.188,32
+,8,595673,680044,1,1,2,2,0.123,32
+,8,595673,680047,1,1,2,2,0.061,32
+,8,595673,667736,1,1,2,2,0.135,32
+,8,595673,667738,1,1,2,2,0.037,32
+,8,595673,667734,1,1,2,2,0.04,32
+,8,595673,677943,1,1,2,2,0.112,32
+,8,595673,664083,1,1,2,2,0.043,32
+,8,595673,664084,1,1,2,2,0.182,32
+,8,595673,680267,1,1,2,2,0.007,32
+,8,595673,49143238,1,1,2,2,0.053,32
+,8,595673,85158957,1,1,2,2,0.086,32
+,8,595673,85158958,1,1,2,2,0.262,32
+,8,595673,680095,1,1,2,2,0.176,32
+,8,595673,579147,1,1,2,2,0.253,32
+,8,595673,580901,1,1,2,2,0.073,32
+,8,595673,13208388,1,1,2,2,0.049,32
+,8,595673,13208389,1,1,2,2,0.022,32
+,8,595673,12676378,1,1,2,2,0.459,32
+,8,595673,13208364,1,1,2,2,0.086,32
+,8,595673,13208365,1,1,2,2,0.004,32
+,9,595673,577713,1,1,2,2,0.076,32
+,9,595673,664776,1,1,2,2,0.137,32
+,9,595673,678593,1,1,2,2,0.34,32
+,9,595673,13208414,1,1,2,2,0.073,32
+,9,595673,13208415,1,1,2,2,0.08,32
+,10,595673,667745,0,1,2,3,0.29,32
+,10,595673,667744,0,1,2,3,0.03,32
+,10,595673,669190,0,1,2,3,0.043,32
+,10,595673,13208497,0,1,2,3,0.031,32
+,10,595673,13208496,0,1,2,3,0.049,32
+,10,595673,671623,1,1,2,2,0.024,32
+,10,595673,671624,1,1,2,2,0.039,32
+,10,595673,12676419,1,1,2,2,0.337,32
+,10,595673,12676420,1,1,2,2,0.295,32
+,11,595662,457368,0,6,4,1,0.092,32
+,11,595662,49065880,0,6,4,1,0.033,32
+,11,595662,49065879,0,6,4,1,0.082,32
+,11,595662,442925,0,6,4,1,0.057,32
+,11,595662,442923,0,6,4,1,0.021,32
+,11,595662,465877,0,6,4,1,0.075,32
+,11,595662,459054,0,6,4,1,0.012,32
+,11,595662,459057,0,6,4,1,0.028,32
+,11,595662,459056,0,6,4,1,0.071,32
+,11,595662,442927,0,6,4,1,0.021,32
+,11,595662,500886,0,6,4,1,0.03,32
+,11,595662,459058,0,6,4,1,0.02,32
+,11,595662,457393,0,6,4,1,0.02,32
+,11,595662,459055,0,6,4,1,0.063,32
+,11,595662,464720,0,6,4,1,0.024,32
+,11,595662,442928,0,6,4,1,0.027,32
+,11,595662,502285,0,6,4,1,0.019,32
+,11,595662,502287,0,6,4,1,0.016,32
+,11,595662,502286,0,6,4,1,0.016,32
+,11,595662,442930,0,6,4,1,0.071,32
+,11,595662,500895,0,6,4,1,0.072,32
+,11,595662,500889,0,6,4,1,0.038,32
+,11,595662,515004,1,6,4,1,0.097,32
+,11,595662,515005,1,6,4,1,0.026,32
+,11,595662,459061,1,6,4,1,0.055,32
+,11,595662,453694,1,6,4,1,0.12,32
+,11,595662,453696,1,6,4,1,0.077,32
+,12,595673,685545,0,1,2,3,0.129,32
+,12,595673,684077,1,1,2,2,0.065,32
+,12,595673,13527548,1,1,2,2,0.152,32
+,12,595673,13527549,1,1,2,2,0.034,32
+,12,595673,582327,1,1,2,2,0.474,32
+,12,595673,87757766,1,1,2,2,0.092,32
+,12,595673,87757767,1,1,2,2,0.047,32
+,13,595673,580968,0,1,2,3,0.171,32
+,13,595673,680567,1,1,2,2,0.198,32
+,13,595673,677535,0,1,2,3,0.062,32
+,13,595673,679074,0,1,2,3,0.063,32
+,13,595663,13474332,0,1,2,3,0.116,32
+,13,595663,87729123,0,1,2,3,0.043,32
+,13,595663,87729122,0,1,2,3,0.069,32
+,13,595663,552805,0,1,2,3,0.079,32
+,13,595663,630580,0,1,2,3,0.246,32
+,13,595663,619134,0,1,2,3,0.07,32
+,13,595663,552793,1,1,2,2,0.077,32
+,13,595663,552796,1,1,2,2,0.078,32
+,13,595663,618308,1,1,2,2,0.166,32
+,13,595663,618309,1,1,2,2,0.076,32
+,13,595663,620501,1,1,2,2,0.03,32
+,13,595663,541873,1,1,2,2,0.067,32
+,13,595663,541875,1,1,2,2,0.044,32
+,13,595663,625897,0,1,2,3,0.086,32
+,14,595663,619151,0,1,2,3,0.008,32
+,14,595663,13247857,0,1,2,3,0.042,32
+,14,595663,13247856,0,1,2,3,0.027,32
+,14,595663,570700,0,1,2,3,0.017,32
+,14,595663,569222,0,1,2,3,0.115,32
+,14,595663,618323,0,1,2,3,0.003,32
+,14,595663,15831938,0,1,2,3,0.029,32
+,14,595663,15831937,0,1,2,3,0.039,32
+,14,595663,628719,0,1,2,3,0.039,32
+,14,595663,49045521,0,1,2,3,0.048,32
+,14,595663,49045520,0,1,2,3,0.062,32
+,14,595663,87729029,1,1,2,2,0.09,32
+,14,595663,87729030,1,1,2,2,0.059,32
+,14,595663,552816,1,1,2,2,0.102,32
+,15,595663,629021,0,1,2,3,0.136,32
+,15,595663,629020,0,1,2,3,0.074,32
+,15,595663,629026,0,1,2,3,0.214,32
+,15,595663,634583,0,1,2,3,0.16,32
+,15,595663,629024,0,1,2,3,0.173,32
+,15,595663,629023,0,1,2,3,0.121,32
+,15,595663,629224,0,1,2,3,0.048,32
+,15,595663,87729004,0,1,2,3,0.155,32
+,15,595663,87729003,0,1,2,3,0.065,32
+,15,595663,635662,0,1,2,3,0.069,32
+,16,595663,629672,0,1,2,3,0.095,32
+,16,595663,15831936,0,1,2,3,0.221,32
+,16,595663,15831935,0,1,2,3,0.036,32
+,16,595663,627269,0,1,2,3,0.17,32
+,16,595663,634287,0,1,2,3,0.094,32
+,16,595663,634286,0,1,2,3,0.058,32
+,16,595663,635655,0,1,2,3,0.04,32
+,16,595663,12634716,0,1,2,3,0.13,32
+,16,595663,87729016,0,1,2,3,0.036,32
+,16,595663,87729015,0,1,2,3,0.061,32
+,16,595663,634291,0,1,2,3,0.051,32
+,16,595663,634290,0,1,2,3,0.054,32
+,17,595663,620671,0,1,2,3,0.061,32
+,17,595663,620669,0,1,2,3,0.139,32
+,17,595663,636865,0,1,2,3,0.213,32
+,17,595663,627650,0,1,2,3,0.264,32
+,17,595663,636873,0,1,2,3,0.114,32
+,17,595663,635308,0,1,2,3,0.065,32
+,17,595663,635307,0,1,2,3,0.083,32
+,17,595663,541882,0,1,2,3,0.148,32
+,17,595663,541880,0,1,2,3,0.03,32
+,17,595663,622155,0,1,2,3,0.087,32
+,17,595663,627474,0,1,2,3,0.02,32
+,17,595663,628921,0,1,2,3,0.126,32
+,17,595663,87728956,0,1,2,3,0.034,32
+,17,595663,87728955,0,1,2,3,0.028,32
+,17,595663,553982,0,1,2,3,0.047,32
+,17,595663,87279598,0,1,2,3,0.111,32
+,17,595663,635196,0,1,2,3,0.209,32
+,17,595663,615181,0,1,2,3,0.097,32
+,18,595663,631148,0,1,2,3,0.135,32
+,18,595663,631215,0,1,2,3,0.194,32
+,18,595663,619138,0,1,2,3,0.414,32
+,18,595663,619137,0,1,2,3,0.331,32
+,18,595663,49045969,0,1,2,3,0.048,32
+,18,595663,49045968,0,1,2,3,0.02,32
+,18,595663,552820,0,1,2,3,0.062,32
+,18,595663,527095,0,1,2,3,0.063,32
+,18,595663,635682,0,1,2,3,0.027,32
+,18,595663,627279,0,1,2,3,0.065,32
+,18,595663,627277,0,1,2,3,0.006,32
+,18,595663,617466,0,1,2,3,0.021,32
+,18,595663,634260,0,1,2,3,0.019,32
+,18,595663,634259,0,1,2,3,0.035,32
+,18,595663,629677,0,1,2,3,0.038,32
+,19,595663,635117,0,1,2,3,0.096,32
+,19,595663,616868,0,1,2,3,0.23,32
+,19,595663,616867,0,1,2,3,0.033,32
+,19,595663,631147,0,1,2,3,0.061,32
+,19,595663,635660,1,1,2,2,0.111,32
+,19,595663,618348,1,1,2,2,0.049,32
+,19,595663,13089075,1,1,2,2,0.005,32
+,19,595663,13089076,1,1,2,2,0.225,32
+,19,595663,49045977,1,1,2,2,0.097,32
+,19,595663,49045978,1,1,2,2,0.096,32
+,19,595663,549416,1,1,2,2,0.169,32
+,19,595663,632713,1,1,2,2,0.085,32
+,19,595663,15154486,1,1,2,2,0.108,32
+,19,595663,15154487,1,1,2,2,0.127,32
+,19,595663,635679,0,1,2,3,0.077,32
+,19,595663,631138,0,1,2,3,0.033,32
+,19,595663,618355,0,1,2,3,0.102,32
+,19,595663,618354,0,1,2,3,0.013,32
+,19,595663,618353,0,1,2,3,0.007,32
+,19,595663,549419,0,1,2,3,0.058,32
+,19,595663,549417,0,1,2,3,0.053,32
+,19,595663,618352,0,1,2,3,0.009,32
+,19,595663,618351,0,1,2,3,0.013,32
+,19,595663,618350,0,1,2,3,0.089,32
+,19,595663,635659,0,1,2,3,0.175,32
+,20,595662,15086835,0,1,2,3,0.058,32
+,20,595662,15086834,0,1,2,3,0.009,32
+,20,595662,452223,0,1,2,3,0.015,32
+,20,595662,452227,0,1,2,3,0.027,32
+,20,595662,452225,0,1,2,3,0.053,32
+,20,595662,452221,0,1,2,3,0.013,32
+,20,595662,452219,0,1,2,3,0.035,32
+,20,595662,443455,1,1,2,2,0.132,32
+,20,595662,512070,1,1,2,2,0.086,32
+,20,595662,500450,1,1,2,2,0.195,32
+,20,595662,500453,1,1,2,2,0.061,32
+,20,595662,493713,1,1,2,2,0.219,32
+,21,595662,454196,1,1,2,2,0.139,32
+,21,595662,505909,1,1,2,2,0.063,32
+,21,595662,507446,1,1,2,2,0.095,32
+,21,595662,87808788,0,1,2,3,0.025,32
+,21,595662,15086843,0,1,2,3,0.092,32
+,21,595662,15086842,0,1,2,3,0.312,32
+,21,595662,460496,1,1,2,2,0.384,32
+,22,595662,455805,1,1,2,2,0.241,32
+,22,595662,461569,1,1,2,2,0.115,32
+,22,595662,461572,1,1,2,2,0.056,32
+,22,595662,503514,0,1,2,3,0.124,32
+,22,595662,49065434,0,1,2,3,0.413,32
+,22,595662,49065433,0,1,2,3,0.297,32
+,22,595662,12644686,0,1,2,3,0.031,32
+,22,595662,12644685,0,1,2,3,0.391,32
+,22,595662,506976,0,1,2,3,0.097,32
+,22,595662,463261,0,1,2,3,0.031,32
+,22,595662,463259,0,1,2,3,0.024,32
+,22,595662,454528,0,1,2,3,0.029,32
+,22,595662,458861,0,1,2,3,0.084,32
+,22,595662,12644764,0,1,2,3,0.2,32
+,22,595662,12644763,0,1,2,3,0.096,32
+,22,595662,454524,0,1,2,3,0.054,32
+,22,595662,452684,0,1,2,3,0.075,32
+,23,595662,443359,0,1,2,3,0.439,32
+,23,595662,493688,0,1,2,3,0.258,32
+,23,595662,493687,0,1,2,3,0.021,32
+,23,595662,499628,0,1,2,3,0.06,32
+,23,595662,499626,0,1,2,3,0.135,32
+,24,595662,13507595,0,1,2,3,0.009,32
+,24,595662,13507594,0,1,2,3,0.04,32
+,24,595662,507016,0,1,2,3,0.091,32
+,24,595662,495044,1,1,2,2,0.193,32
+,24,595662,502252,1,1,2,2,0.121,32
+,24,595662,12644733,1,1,2,2,0.027,32
+,24,595662,12644734,1,1,2,2,0.101,32
+,24,595662,14770680,1,1,2,2,0.096,32
+,24,595662,14770681,1,1,2,2,0.04,32
+,24,595662,499630,1,1,2,2,0.012,32
+,24,595662,499633,1,1,2,2,0.111,32
+,25,595662,49065959,0,1,2,3,0.085,32
+,25,595662,13507607,0,1,2,3,0.282,32
+,25,595662,13507606,0,1,2,3,0.246,32
+,25,595662,49065962,0,1,2,3,0.062,32
+,25,595672,432563,0,1,2,3,0.182,32
+,25,595672,408598,0,1,2,3,0.206,32
+,25,595672,408597,0,1,2,3,0.113,32
+,25,595672,406264,0,1,2,3,0.04,32
+,25,595672,357614,0,1,2,3,0.124,32
+,25,595672,13474068,0,1,2,3,0.116,32
+,25,595672,13474067,0,1,2,3,0.007,32
+,25,595672,12645711,0,1,2,3,0.106,32
+,25,595672,401683,0,1,2,3,0.085,32
+,25,595672,401682,0,1,2,3,0.017,32
+,25,595672,404725,0,1,2,3,0.044,32
+,25,595672,404721,0,1,2,3,0.042,32
+,26,595672,357611,1,1,2,2,0.131,32
+,26,595672,395407,1,1,2,2,0.169,32
+,26,595672,369816,1,1,2,2,0.11,32
+,26,595672,369817,1,1,2,2,0.602,32
+,26,595672,408599,1,1,2,2,0.08,32
+,26,595672,408600,1,1,2,2,0.056,32
+,28,595662,452686,0,1,2,3,0.077,32
+,28,595662,49065531,0,1,2,3,0.021,32
+,28,595662,87808736,0,1,2,3,0.029,32
+,28,595662,87808735,0,1,2,3,0.044,32
+,28,595662,452683,0,1,2,3,0.083,32
+,28,595662,12874857,0,1,2,3,0.041,32
+,28,595662,12874856,0,1,2,3,0.07,32
+,28,595662,505946,0,1,2,3,0.151,32
+,28,595662,499625,0,1,2,3,0.044,32
+,28,595662,493686,0,1,2,3,0.031,32
+,28,595662,510114,0,1,2,3,0.21,32
+,35,595672,357609,0,1,2,3,0.075,32
+,35,595672,12645722,0,1,2,3,0.109,32
+,35,595672,12645721,0,1,2,3,0.038,32
+,35,595672,87767269,0,1,2,3,0.285,32
+,35,595672,87767268,0,1,2,3,0.014,32
+,35,595672,12566767,0,1,2,3,0.836,32
+,35,595672,87767277,0,1,2,3,0.115,32
+,35,595672,87767276,0,1,2,3,0.021,32
+,35,595672,87767281,0,1,2,3,0.131,32
+,35,595672,87767280,0,1,2,3,0.063,32
+,35,595672,407083,0,1,2,3,0.027,32
+,35,595672,12645726,0,1,2,3,0.123,32
+,35,595672,12645725,0,1,2,3,0.024,32
+,35,595672,407082,0,1,2,3,0.22,32
+,35,595672,12566828,0,1,2,3,0.057,32
+,35,595672,12566846,0,1,2,3,0.146,32
+,35,595672,12566845,0,1,2,3,0.184,32
+,35,595672,408476,0,1,2,3,0.181,32
+,36,595672,358018,1,1,2,2,0.031,32
+,36,595673,675947,1,1,2,2,0.003,32
+,36,595673,663592,1,1,2,2,0.051,32
+,36,595673,676996,1,1,2,2,0.217,32
+,36,595673,676998,1,1,2,2,0.08,32
+,36,595673,666673,1,1,2,2,0.128,32
+,36,595673,680551,0,1,2,3,0.107,32
+,37,595673,676164,0,1,2,3,0.122,32
+,37,595673,676162,0,1,2,3,0.047,32
+,37,595673,677035,0,1,2,3,0.04,32
+,37,595673,677032,0,1,2,3,0.116,32
+,37,595673,667164,0,1,2,3,0.098,32
+,37,595673,87757523,0,1,2,3,0.087,32
+,37,595673,87757522,0,1,2,3,0.047,32
+,37,595673,676170,0,1,2,3,0.149,32
+,37,595673,669283,0,1,2,3,0.026,32
+,37,595673,677042,0,1,2,3,0.051,32
+,37,595673,677040,0,1,2,3,0.052,32
+,37,595673,684079,0,1,2,3,0.019,32
+,37,595673,676994,0,1,2,3,0.05,32
+,37,595673,676991,0,1,2,3,0.066,32
+,37,595673,681053,0,1,2,3,0.182,32
+,38,595673,579491,1,1,2,2,0.059,32
+,38,595673,15154468,1,1,2,2,0.14,32
+,38,595673,15154469,1,1,2,2,0.051,32
+,38,595673,12676376,1,1,2,2,0.053,32
+,38,595673,580910,1,1,2,2,0.038,32
+,38,595673,580932,1,1,2,2,0.097,32
+,38,595673,669281,1,1,2,2,0.14,32
+,38,595673,677044,1,1,2,2,0.064,32
+,38,595673,677046,1,1,2,2,0.064,32
+,38,595673,667131,1,1,2,2,0.052,32
+,38,595673,680259,1,1,2,2,0.312,32
+,38,595673,680260,1,1,2,2,0.149,32
+,39,605603,732434,1,6,4,2,0.017,32
+,39,605603,732436,1,6,4,2,0.151,32
+,39,605603,574041,0,6,4,3,0.306,32
+,39,605603,730754,0,6,4,3,0.012,32
+,39,605603,727992,0,6,4,3,0.005,32
+,39,605603,727990,0,6,4,3,0.097,32
+,39,605603,583074,0,6,4,3,0.074,32
+,39,605603,583069,0,6,4,3,0.468,32
+,39,605603,578650,0,6,4,3,0.007,32
+,39,605603,578489,0,6,,3,0.01,32
+,39,605603,577272,0,6,4,3,0.007,32
+,40,595673,12566915,1,1,2,2,0.298,32
+,40,595673,12566916,1,1,2,2,0.018,32
+,40,595673,672423,1,1,2,2,0.261,32
+,40,595673,672425,1,1,2,2,0.02,32
+,40,595673,675462,0,1,2,3,0.062,32
+,40,595673,675464,0,1,2,3,0.213,32
+,40,595673,676458,0,1,2,3,0.112,32
+,40,595673,676457,0,1,2,3,0.008,32
+,40,595673,666977,0,1,2,3,0.032,32
+,40,595673,666979,0,1,2,3,0.012,32
+,40,595673,666978,0,1,2,3,0.021,32
+,40,595673,577705,0,1,2,3,0.064,32
+,40,595673,582332,0,1,2,3,0.022,32
+,40,595673,683931,0,1,2,3,0.023,32
+,40,595673,667170,0,1,2,3,0.016,32
+,40,595673,667169,0,1,2,3,0.033,32
+,41,595673,574760,0,1,2,3,0.058,32
+,41,595673,663296,1,1,2,2,0.072,32
+,41,595673,663297,1,1,2,2,0.016,32
+,41,595673,667174,1,1,2,2,0.045,32
+,41,595673,49143250,1,1,2,2,0.037,32
+,41,595673,49143251,1,1,2,2,0.259,32
+,41,595673,12634931,1,1,2,2,0.029,32
+,41,595673,15154564,1,1,2,2,0.172,32
+,41,595673,15154565,1,1,2,2,0.062,32
+,41,595673,580898,1,1,2,2,0.053,32
+,41,595673,580935,1,1,2,2,0.051,32
+,41,595673,580936,1,1,2,2,0.009,32
+,41,595673,580913,1,1,2,2,0.048,32
+,41,595673,668629,1,1,2,2,0.032,32
+,41,595673,13527572,1,1,2,2,0.345,32
+,41,595673,15154470,1,1,2,2,0.305,32
+,41,595673,15154471,1,1,2,2,0.041,32
+,41,595673,687256,1,1,2,2,0.055,32
+,42,595673,580929,1,1,2,2,0.081,32
+,42,595673,680264,1,1,2,2,0.057,32
+,42,595673,664574,1,1,2,2,0.047,32
+,42,595673,12676415,1,1,2,2,0.045,32
+,42,595673,12676416,1,1,2,2,0.049,32
+,42,595673,676963,1,1,2,2,0.074,32
+,42,595673,586451,1,1,2,2,0.04,32
+,42,595673,664774,1,1,2,2,0.135,32
+,42,595673,664775,1,1,2,2,0.191,32
+,42,595673,49044154,1,1,2,2,0.313,32
+,42,595673,87757659,1,1,2,2,0.178,32
+,42,595673,87757660,1,1,2,2,0.176,32
+,42,595673,664809,1,1,2,2,0.134,32
+,42,595673,664810,1,1,2,2,0.085,32
+,42,595673,580912,1,1,2,2,0.067,32
+,42,595673,684071,1,1,2,2,0.313,32
+,42,595673,684072,1,1,2,2,0.02,32
+,42,595673,672412,1,1,2,2,0.08,32
+,42,595673,672414,1,1,2,2,0.114,32
+,43,595663,87728983,1,1,2,2,0.018,32
+,43,595663,87728984,1,1,2,2,0.129,32
+,43,595663,631134,1,1,2,2,0.04,32
+,43,595663,631517,1,1,2,2,0.069,32
+,43,595663,541844,1,1,2,2,0.043,32
+,43,595663,14641303,1,1,2,2,0.033,32
+,43,595663,14641304,1,1,2,2,0.302,32
+,43,595663,87728976,1,1,2,2,0.091,32
+,43,595663,555905,1,1,2,2,0.083,32
+,44,595673,664779,1,1,2,2,0.123,32
+,44,595673,670178,1,1,2,2,0.198,32
+,44,595673,670179,1,1,2,2,0.373,32
+,44,595673,87757975,1,1,2,2,0.029,32
+,44,595673,87757976,1,1,2,2,0.062,32
+,45,605603,584506,0,6,4,3,0.078,32
+,45,605603,584499,0,6,4,3,0.094,32
+,45,605603,583057,0,6,4,3,0.337,32
+,45,605603,580193,0,6,4,3,0.017,32
+,45,605603,583002,1,6,4,2,0.51,32
+,45,605603,719840,1,6,4,2,0.121,32
+,45,605603,735959,1,6,4,2,0.167,32
+,45,605603,735752,1,6,4,2,0.04,32
+,45,605603,87669319,1,6,4,2,0.006,32
+,45,605603,87669320,1,6,4,2,0.045,32
+,45,605603,727475,1,6,3,2,0.06,32
+,46,595663,620633,1,1,2,2,0.107,32
+,46,595663,13089085,1,1,2,2,0.195,32
+,46,595663,15154552,1,1,2,2,0.08,32
+,46,595663,15154553,1,1,2,2,0.078,32
+,46,595663,49190023,1,1,2,2,0.051,32
+,46,595663,634293,1,1,2,2,0.048,32
+,46,595663,555954,1,1,2,2,0.073,32
+,46,595663,555957,1,1,2,2,0.092,32
+,46,595663,635666,1,1,2,2,0.284,32
+,46,595663,555948,1,1,2,2,0.077,32
+,46,595663,555951,1,1,2,2,0.073,32
+,47,595663,630543,1,1,2,2,0.072,32
+,47,595663,618310,1,1,2,2,0.063,32
+,47,595663,85974144,1,1,2,2,0.128,32
+,47,595663,85974145,1,1,2,2,0.632,32
+,47,595663,615298,1,1,2,2,0.083,32
+,47,595663,12634683,1,1,2,2,0.026,32
+,47,595663,12634684,1,1,2,2,0.042,32
+,47,595663,620635,1,1,2,2,0.103,32
+,47,595663,629052,1,1,2,2,0.577,32
+,48,595663,631874,1,1,2,2,0.093,32
+,48,595663,631875,1,1,2,2,0.042,32
+,48,595663,635189,0,1,2,3,0.014,32
+,48,595663,626006,0,1,2,3,0.106,32
+,48,595663,626005,0,1,2,3,0.126,32
+,48,595663,555911,0,1,2,3,0.184,32
+,48,595663,555909,0,1,2,3,0.097,32
+,48,595663,629667,1,1,2,2,0.036,32
+,48,595663,554325,1,1,2,2,0.097,32
+,48,595663,554330,1,1,2,2,0.068,32
+,48,595663,12634696,0,1,2,3,0.079,32
+,48,595663,12634695,0,1,2,3,0.05,32
+,49,595663,637106,1,1,2,2,0.018,32
+,49,595663,87728931,1,1,2,2,0.17,32
+,49,595663,87728932,1,1,2,2,0.113,32
+,49,595663,631144,1,1,2,2,0.05,32
+,49,595663,87881055,1,1,2,2,0.079,32
+,49,595663,87881056,1,1,2,2,0.441,32
+,49,595663,555925,1,1,2,2,0.088,32
+,50,595663,15154476,1,1,2,2,0.032,32
+,50,595663,15154477,1,1,2,2,0.085,32
+,50,595663,12634726,1,1,2,2,0.022,32
+,50,595663,620629,1,1,2,2,0.085,32
+,50,595663,87880957,1,1,2,2,0.049,32
+,50,595663,87880958,1,1,2,2,0.111,32
+,50,595663,12645867,1,1,2,2,0.162,32
+,50,595663,555933,1,1,2,2,0.097,32
+,50,595663,12634723,1,1,2,2,0.161,32
+,50,595663,12634724,1,1,2,2,0.159,32
+,50,595663,569286,1,1,2,2,0.259,32
+,50,595663,541846,1,1,2,2,0.012,32
+,50,595663,87728905,1,1,2,2,0.021,32
+,50,595663,87728906,1,1,2,2,0.046,32
+,50,595663,625257,1,1,2,2,0.045,32
+,50,595663,630606,1,1,2,2,0.644,32
+,51,595663,634258,1,1,2,2,0.137,32
+,51,595663,626017,1,1,2,2,0.191,32
+,51,595663,634257,1,1,2,2,0.068,32
+,51,595663,49045673,1,1,2,2,0.128,32
+,51,595663,12645860,1,1,2,2,0.213,32
+,51,595663,12645861,1,1,2,2,0.209,32
+,51,595663,541849,1,1,2,2,0.151,32
+,51,595663,555936,1,1,2,2,0.062,32
+,51,595663,555939,1,1,2,2,0.065,32
+,51,595663,616466,0,1,2,3,0.075,32
+,51,595663,622569,0,1,2,3,0.444,32
+,51,595662,12644744,0,1,2,3,0.042,32
+,51,595662,12644743,0,1,2,3,0.089,32
+,51,595662,12857662,0,1,2,3,0.106,32
+,51,595662,84796625,0,1,2,3,0.089,32
+,51,595662,84796624,0,1,2,3,0.035,32
+,51,595662,12857655,0,1,2,3,0.093,32
+,51,595662,443374,1,1,2,2,0.228,32
+,51,595662,12857651,1,1,2,2,0.156,32
+,51,595662,12857652,1,1,2,2,0.098,32
+,51,595662,12857648,1,1,2,2,0.246,32
+,51,595662,12644675,1,1,2,2,0.192,32
+,51,595662,12644676,1,1,2,2,0.248,32
+,51,595662,493703,1,1,2,2,0.059,32
+,51,595662,507475,1,1,2,2,0.077,32
+,51,595662,507482,1,1,2,2,0.09,32
+,51,595662,12644701,1,1,2,2,0.049,32
+,51,595662,12644702,1,1,2,2,0.22,32
+,51,595662,455819,1,1,2,2,0.138,32
+,51,595662,455820,1,1,2,2,0.058,32
+,51,595662,457325,0,1,2,3,0.065,32
+,51,595662,452679,0,1,2,3,0.294,32
+,51,595662,499621,0,1,2,3,0.139,32
+,51,595662,499618,0,1,2,3,0.027,32
+,51,595662,455822,0,1,2,3,0.109,32
+,52,595662,12644678,0,1,2,3,0.045,32
+,52,595662,12644677,0,1,2,3,0.087,32
+,52,595662,500679,0,1,2,3,0.126,32
+,52,595662,15086815,0,1,2,3,0.021,32
+,52,595662,15086814,0,1,2,3,0.065,32
+,52,595662,493704,0,1,2,3,0.053,32
+,52,595662,448224,0,1,2,3,0.068,32
+,52,595662,510503,0,1,2,3,0.306,32
+,52,595662,510510,0,1,2,3,0.058,32
+,52,595662,507524,0,1,2,3,0.271,32
+,52,595662,507521,0,1,2,3,0.038,32
+,53,595662,500681,0,1,2,3,0.12,32
+,53,595662,500680,0,1,2,3,0.057,32
+,53,595662,15086801,0,1,2,3,0.094,32
+,53,595662,15086800,0,1,2,3,0.003,32
+,53,595662,12644724,0,1,2,3,0.108,32
+,53,595662,12644723,0,1,2,3,0.107,32
+,53,595662,454542,0,1,2,3,0.062,32
+,53,595662,12644750,0,1,2,3,0.255,32
+,53,595662,12644749,0,1,2,3,0.1,32
+,53,595662,498127,0,1,2,3,0.124,32
+,53,595662,492428,1,1,2,2,0.006,32
+,53,595662,492429,1,1,2,2,0.08,32
+,53,595662,448403,1,1,2,2,0.118,32
+,53,595662,447514,1,1,2,2,0.082,32
+,53,595662,447516,1,1,2,2,0.045,32
+,53,595662,452690,1,1,2,2,0.145,32
+,53,595662,452688,1,1,2,2,0.163,32
+,53,595662,452689,1,1,2,2,0.046,32
+,53,595662,461989,1,1,2,2,0.112,32
+,54,595662,457673,1,1,2,2,0.013,32
+,54,595662,457675,1,1,2,2,0.012,32
+,54,595662,452691,1,1,2,2,0.031,32
+,54,595662,493706,1,1,2,2,0.061,32
+,54,595662,496712,1,1,2,2,0.047,32
+,54,595662,12644681,1,1,2,2,0.174,32
+,54,595662,12644682,1,1,2,2,0.178,32
+,54,595662,505930,1,1,2,2,0.12,32
+,54,595662,505933,1,1,2,2,0.097,32
+,54,595662,15812036,1,1,2,2,0.122,32
+,54,595662,15812037,1,1,2,2,0.056,32
